case,E_mem,E_gj,E_pump,E_total,d_mean_vmem_mV,d_wound_gj
control,0.0,0.0,0.0,0.0,0.0,0.0
na,0.0759359059487085,2.5357621637567037e-06,1.0282663640784913e-11,0.07593844172115492,1.035340855677901,0.07028406905168172
k,0.0077544354030687716,1.4534573536689302e-06,4.132470162443566e-17,0.007755888860422482,-0.3308826446651331,0.023800396744084296
gj,3.004460035196238e-10,0.00282063007428648,1.053891056284678e-21,0.0028206303747324835,-1.21647621594001e-05,-2.8333125710498193
na_k,0.035112637969883516,7.417215703283018e-06,1.035712822653409e-11,0.035120055195943925,0.7040300809588538,0.09429676098675888
na_gj,0.0759351530057547,0.0028227546607280684,1.0282711240106633e-11,0.07875790767676547,1.0353286987414279,-2.7170873111382976
k_gj,0.0077546740635219946,0.0028208006945321454,4.134621009798705e-17,0.010575474758054182,-0.33089461845150353,-2.78345478576795
